coord_lon,coord_lat,weather[0]_id,weather[0]_main,weather[0]_description,weather[0]_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,wind_gust
93.0,26.0,802,Clouds,scattered clouds,03n,stations,290.54,290.27,290.54,290.54,1015,74,1015,1003,10000,1.26,157,32,2024-12-19 19:41:17+05:30,,,IN,2024-12-19 05:59:48+05:30,2024-12-19 16:30:28+05:30,19800,1278253,Assam,200,1.42
74.8167,34.0833,800,Clear,clear sky,01n,stations,277.52,277.52,277.52,277.52,1019,20,1019,830,10000,1.13,54,0,2024-12-19 19:40:43+05:30,,,IN,2024-12-19 07:31:30+05:30,2024-12-19 17:24:17+05:30,19800,1255634,Srinagar,200,1.34
79.4167,28.35,800,Clear,clear sky,01n,stations,289.05,287.56,289.05,289.05,1015,33,1015,995,10000,1.34,135,0,2024-12-19 19:40:14+05:30,,,IN,2024-12-19 06:59:19+05:30,2024-12-19 17:19:39+05:30,19800,1277013,Bareilly,200,1.39
91.3333,25.5,800,Clear,clear sky,01n,stations,280.92,279.89,280.92,280.92,1018,86,1018,856,10000,1.85,87,0,2024-12-19 19:41:20+05:30,,,IN,2024-12-19 06:05:24+05:30,2024-12-19 16:38:13+05:30,19800,1263207,State of Meghālaya,200,1.67
77.6033,12.9762,804,Clouds,overcast clouds,04n,stations,297.37,297.83,296.76,297.77,1010,76,1010,913,10000,2.56,11,99,2024-12-20 18:30:19+05:30,2.0,2094842.0,IN,2024-12-20 06:36:25+05:30,2024-12-20 17:58:01+05:30,19800,1277333,Bengaluru,200,4.82
72.8479,19.0144,711,Smoke,smoke,50n,stations,299.14,299.14,298.09,299.14,1010,50,1010,1009,2100,3.6,290,20,2024-12-20 18:25:02+05:30,1.0,9052.0,IN,2024-12-20 07:06:44+05:30,2024-12-20 18:05:45+05:30,19800,1275339,Mumbai,200,
78.4744,17.3753,721,Haze,haze,50n,stations,301.38,301.96,299.88,301.38,1010,51,1010,947,5000,2.57,50,75,2024-12-20 18:25:31+05:30,1.0,9214.0,IN,2024-12-20 06:41:05+05:30,2024-12-20 17:46:23+05:30,19800,1269843,Hyderabad,200,
77.2167,28.6667,711,Smoke,smoke,50n,stations,292.2,291.6,292.2,292.2,1013,55,1013,988,1600,1.54,320,0,2024-12-20 18:25:26+05:30,1.0,9165.0,IN,2024-12-20 07:09:21+05:30,2024-12-20 17:28:11+05:30,19800,1273294,Delhi,200,
72.0,23.0,801,Clouds,few clouds,02n,stations,293.81,292.85,293.81,293.81,1011,35,1011,1009,10000,4.62,281,13,2024-12-20 18:30:49+05:30,,,IN,2024-12-20 07:18:03+05:30,2024-12-20 18:01:14+05:30,19800,1270770,Gujarat,200,6.07
74.8833,12.8667,721,Haze,haze,50n,stations,301.63,303.47,301.63,301.63,1009,61,1009,1006,4000,3.6,320,100,2024-12-20 18:30:15+05:30,1.0,9217.0,IN,2024-12-20 06:47:06+05:30,2024-12-20 18:09:06+05:30,19800,1263780,Mangalore,200,
93.0,26.0,804,Clouds,overcast clouds,04n,stations,290.87,290.6,290.87,290.87,1013,73,1013,1002,10000,0.19,96,100,2024-12-20 18:30:46+05:30,,,IN,2024-12-20 06:00:19+05:30,2024-12-20 16:30:55+05:30,19800,1278253,Assam,200,0.64
74.8167,34.0833,800,Clear,clear sky,01n,stations,277.5,277.5,277.5,277.5,1019,17,1019,830,10000,0.94,57,0,2024-12-20 18:26:56+05:30,,,IN,2024-12-20 07:32:01+05:30,2024-12-20 17:24:43+05:30,19800,1255634,Srinagar,200,1.1
79.4167,28.35,800,Clear,clear sky,01n,stations,290.85,289.51,290.85,290.85,1013,32,1013,993,10000,2.32,283,0,2024-12-20 18:30:53+05:30,,,IN,2024-12-20 06:59:50+05:30,2024-12-20 17:20:05+05:30,19800,1277013,Bareilly,200,2.3
91.3333,25.5,804,Clouds,overcast clouds,04n,stations,280.57,279.98,280.57,280.57,1016,77,1016,854,10000,1.4,88,100,2024-12-20 18:30:54+05:30,,,IN,2024-12-20 06:05:55+05:30,2024-12-20 16:38:39+05:30,19800,1263207,State of Meghālaya,200,1.25
